Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
565814,Úštěk,2256,1290,1284,115,2,0,64,98,192,18,22,15,5,0,104,0,48,381,4,6,14,2,4,2,7,177,4
565831,Vědomice,696,505,502,91,0,0,26,17,25,8,3,10,1,0,56,4,43,150,2,2,17,0,1,2,3,41,0
565849,Velemín,1270,754,748,94,1,3,48,44,114,9,7,12,3,0,51,0,14,277,0,3,8,0,2,1,0,54,3
565857,Velké Žernoseky,390,243,236,23,0,0,14,18,22,9,5,1,0,1,21,0,1,94,0,0,3,0,4,0,2,17,1
565865,Vchynice,253,162,161,8,0,0,8,16,16,3,1,0,0,0,15,0,6,60,0,0,9,0,0,0,0,19,0
565873,Vlastislav,141,78,78,12,0,1,8,4,7,1,0,0,0,0,5,0,5,24,0,0,1,0,0,0,0,9,1
565881,Vražkov,332,200,200,21,1,0,20,4,34,3,0,4,0,0,18,0,7,61,0,0,1,0,1,1,1,22,1
565890,Vrbice,405,248,248,22,0,0,25,13,36,1,1,2,1,1,20,0,12,68,0,3,6,0,4,0,3,30,0
565903,Vrbičany,262,130,130,4,0,0,2,1,18,2,2,1,1,0,8,0,2,80,0,0,0,0,0,0,0,9,0
565911,Vrutice,250,130,129,16,0,0,3,3,27,0,0,4,1,0,7,1,3,38,0,1,5,0,2,0,2,16,0
542482,Záluží,139,99,99,15,1,0,5,7,2,0,0,2,0,0,10,0,7,32,0,1,3,0,0,0,0,14,0
565938,Žabovřesky nad Ohří,201,141,140,20,2,0,12,6,15,2,0,4,0,0,13,0,7,46,0,0,0,0,1,0,0,12,0
565946,Žalhostice,402,265,264,25,0,0,8,9,30,5,3,0,0,0,15,0,9,120,0,0,1,0,0,0,0,39,0
565954,Židovice,295,187,186,38,0,0,8,7,16,4,1,0,0,0,10,0,6,68,0,0,0,0,0,0,0,27,1
565962,Žitenice,1235,769,762,91,1,2,36,35,75,9,7,13,0,0,89,0,32,236,1,4,15,2,3,1,1,108,1
